Sample,Depth (cmbsf),Depth (av.),Water depth (mbsl),Depth (cmbsf),Depth (av.),NO3 (μM),NO2 (μM),NH4 (μM),PO4 (μM),Depth (cmbsf),O2,Depth (cmbsf),Depth (av.),d13C (‰),d15N (‰),TOC (wt %),TN (wt %),C/N wt/wt)
JC_S000,0–2,1.0 ,"7,963 ",0–2,1.0 ,11.2 ,5.5 ,80.8 ,nan,0.0 ,135 ,0–2,1.0 ,-21.1 ,5.1 ,3.09 ,0.40 ,7.8 
JC_S002,2–4,3.0 ,"7,963 ",2–4,3.0 ,5.4 ,6.6 ,40.8 ,nan,2.0 ,139 ,2–4,3.0 ,-21.1 ,5.1 ,2.07 ,0.28 ,7.5 
JC_S004,4–6,5.0 ,"7,963 ",4–6,5.0 ,3.1 ,4.9 ,29.7 ,nan,4.0 ,145 ,4–6,5.0 ,-21.2 ,5.4 ,1.71 ,0.23 ,7.4 
JC_S006,6–8,7.0 ,"7,963 ",6–8,7.0 ,0.8 ,1.9 ,38.1 ,nan,6.0 ,137 ,6–8,7.0 ,-21.3 ,5.2 ,1.79 ,0.24 ,7.6 
JC_S008,8–10,9.0 ,"7,963 ",8–10,9.0 ,0.1 ,0.1 ,73.9 ,nan,8.0 ,137 ,8–10,9.0 ,-20.7 ,5.4 ,1.63 ,0.22 ,7.5 
JC_S010,10–15,12.5 ,"7,963 ",10–15,12.5 ,0.0 ,0.0 ,141.6 ,nan,12.0 ,128 ,10–15,12.5 ,-21.1 ,5.1 ,2.03 ,0.26 ,7.7 
JC_S020,20–25,22.5 ,"7,963 ",20–25,22.5 ,0.0 ,0.0 ,276.2 ,nan,24.0 ,121 ,20–25,22.5 ,-21.0 ,5.1 ,3.28 ,0.42 ,7.9 
JC_S037,37–44,40.5 ,"7,963 ",37–44,40.5 ,0.0 ,0.0 ,320.2 ,nan,nan,nan,37–44,40.5 ,-21.1 ,5.2 ,2.55 ,0.32 ,7.9 
IO1-1_S000,0–2,1.0 ,"9,250 ",0–2,1.0 ,36.0 ,1.0 ,8.7 ,2.9 ,nan,nan,0–2 ,1.0 ,-21.7 ,3.7 ,1.55 ,0.16 ,9.5 
IO1-1_S002,2–4,3.0 ,"9,250 ",2–4,3.0 ,32.0 ,0.6 ,2.6 ,2.0 ,nan,nan,2–4 ,3.0 ,-21.4 ,4.2 ,1.02 ,0.11 ,9.4 
IO1-1_S004,4–6,5.0 ,"9,250 ",4–6,5.0 ,23.6 ,0.3 ,2.9 ,1.7 ,nan,nan,4–6 ,5.0 ,-21.5 ,3.8 ,0.94 ,0.09 ,10.1 
IO1-1_S006,6–8,7.0 ,"9,250 ",6–8,7.0 ,8.9 ,1.5 ,2.2 ,1.3 ,nan,nan,6–8 ,7.0 ,-21.5 ,3.7 ,0.85 ,0.08 ,10.1 
IO1-1_S008,8–10,9.0 ,"9,250 ",8–10,9.0 ,0.5 ,0.5 ,5.8 ,1.4 ,nan,nan,8–10 ,9.0 ,-21.5 ,3.4 ,1.09 ,0.11 ,9.9 
IO1-1_S015,15–20,17.5 ,"9,250 ",15–20,17.5 ,0.6 ,0.3 ,72.7 ,0.3 ,nan,nan,15–20 ,17.5 ,-21.4 ,3.4 ,1.14 ,0.13 ,9.1 
IO1-1_S025,25–29,27.0 ,"9,250 ",25–29,27.0 ,1.2 ,0.4 ,105.7 ,0.2 ,nan,nan,25–29 ,27.0 ,-22.0 ,2.5 ,0.54 ,0.05 ,10.7 
IO1-2_S000,0–1,0.5 ,"9,242 ",0–1,0.5 ,36.4 ,0.9 ,6.0 ,2.7 ,nan,nan,0–1 ,0.5 ,-21.7 ,4.0 ,1.57 ,0.18 ,8.8 
IO1-2_S002,2–3,2.5 ,"9,242 ",2–3,2.5 ,30.7 ,0.5 ,2.7 ,2.0 ,nan,nan,2–3 ,2.5 ,-21.5 ,3.6 ,0.97 ,0.10 ,9.6 
IO1-2_S004,4–5,4.5 ,"9,242 ",4–5,4.5 ,22.6 ,0.3 ,6.1 ,1.8 ,nan,nan,4–5 ,4.5 ,-21.3 ,4.1 ,0.86 ,0.09 ,9.4 
IO1-2_S006,6–7,6.5 ,"9,242 ",6–7,6.5 ,9.3 ,1.1 ,2.7 ,1.5 ,nan,nan,6–7 ,6.5 ,-21.1 ,3.9 ,0.77 ,0.09 ,8.9 
IO1-2_S008,8–9,8.5 ,"9,242 ",8–9,8.5 ,0.7 ,0.5 ,4.3 ,1.6 ,nan,nan,8–9 ,8.5 ,-21.5 ,3.6 ,1.14 ,0.12 ,9.7 
IO1-2_S009,9–10,9.5 ,"9,242 ",9–10,9.5 ,0.6 ,0.3 ,11.6 ,2.4 ,nan,nan,9–10 ,9.5 ,-21.4 ,3.6 ,1.09 ,0.12 ,9.3 
IO1-2_S010,10–15,12.5 ,"9,242 ",10–15,12.5 ,0.5 ,0.2 ,32.9 ,2.9 ,nan,nan,10–15 ,12.5 ,-21.3 ,4.0 ,1.13 ,0.13 ,8.7 
IO1-2_S020,20–25,22.5 ,"9,242 ",20–25,22.5 ,0.7 ,0.2 ,83.1 ,0.4 ,nan,nan,20–25 ,22.5 ,-21.6 ,3.7 ,0.57 ,0.09 ,6.6 
IO3_S000,0–2,1.0 ,"5,257 ",0–2,1.0 ,39.0 ,0.6 ,5.5 ,2.7 ,1.0 ,175 ,0–2 ,1.0 ,-21.4 ,6.0 ,0.30 ,0.04 ,7.4 
IO3_S004,4–6,5.0 ,"5,257 ",4–6,5.0 ,40.3 ,0.2 ,5.7 ,2.7 ,5.0 ,70 ,4–6 ,5.0 ,-21.9 ,5.7 ,0.42 ,0.04 ,11.4 
IO3_S008,8–10,9.0 ,"5,257 ",8–10,9.0 ,40.8 ,0.1 ,1.8 ,2.9 ,9.0 ,34 ,8–10 ,9.0 ,-21.7 ,5.2 ,0.34 ,0.03 ,11.8 
IO3_S010,10–15,12.5 ,"5,257 ",10–15,12.5 ,41.4 ,0.2 ,10.7 ,3.2 ,13.0 ,9 ,10–15 ,12.5 ,-21.1 ,5.5 ,0.13 ,0.02 ,6.1 
IO3_S015,15–20,17.5 ,"5,257 ",15–20,17.5 ,41.1 ,0.1 ,1.4 ,3.5 ,17.0 ,0 ,15–20 ,17.5 ,-21.0 ,5.0 ,0.12 ,0.02 ,5.7 
IOA_S000,0–0.5,0.3 ,"5,370 ",0–1,0.5 ,39.2 ,0.9 ,4.3 ,2.9 ,nan,nan,0–0.5,0.3 ,-21.5 ,2.4 ,0.55 ,0.07 ,8.1 
IOA_S002,1.5–2,1.8 ,"5,370 ",1–2,1.5 ,40.8 ,0.8 ,3.0 ,2.6 ,2.0 ,109 ,1.5–2,1.8 ,-21.4 ,3.1 ,0.46 ,0.06 ,7.6 
IOA_S003,3–4,3.5 ,"5,370 ",3–4,3.5 ,40.0 ,0.4 ,1.1 ,2.4 ,3.0 ,102 ,3–4,3.5 ,-21.1 ,3.3 ,0.39 ,0.06 ,6.2 
IOA_S004,4–5,4.5 ,"5,370 ",4–5,4.5 ,29.1 ,0.2 ,1.2 ,1.8 ,4.0 ,97 ,4–5,4.5 ,-21.0 ,4.1 ,0.40 ,0.06 ,6.8 
IOA_S005,5–7,6.0 ,"5,370 ",nan,nan,nan,nan,nan,nan,5.0 ,94 ,5–7,6.0 ,-20.9 ,3.9 ,0.42 ,0.06 ,6.7 
IOA_S010,10–15,12.5 ,"5,370 ",10–15,12.5 ,31.9 ,0.1 ,1.2 ,2.1 ,nan,nan,10–15,12.5 ,-21.0 ,3.8 ,0.37 ,0.05 ,7.8 
IOB_S000,0–8,4.0 ,"5,474 ",0–8,4.0 ,34.2 ,0.2 ,0.9 ,2.7 ,5.0 ,87 ,0–8,4.0 ,-20.4 ,8.2 ,0.49 ,0.08 ,5.8 
IOB_S013,13–23,18.0 ,"5,474 ",13–23,18.0 ,36.9 ,0.1 ,0.7 ,3.7 ,17.5 ,53 ,13–23,18.0 ,-20.4 ,7.9 ,0.29 ,0.07 ,4.5 
IOB_S033,33–43,38.0 ,"5,474 ",33–43,38.0 ,36.1 ,0.1 ,0.6 ,4.8 ,35.0 ,39 ,33–43,38.0 ,-20.8 ,7.5 ,0.22 ,0.06 ,4.0 
IOB_S053,53–63,58.0 ,"5,474 ",53–63,58.0 ,34.0 ,0.0 ,0.5 ,5.7 ,55.0 ,13 ,53–63,58.0 ,-21.1 ,7.0 ,0.21 ,0.06 ,3.6 
IOB_S073,73–83,78.0 ,"5,474 ",73–83,78.0 ,31.9 ,0.1 ,0.5 ,6.4 ,75.0 ,3 ,73–83,78.0 ,-21.3 ,7.3 ,0.16 ,0.05 ,3.6 
IOB_S093,93–103,98.0 ,"5,474 ",93–103,98.0 ,29.8 ,0.1 ,0.6 ,7.1 ,95.0 ,5 ,93–103,98.0 ,-22.0 ,7.2 ,0.17 ,0.05 ,3.4 
IOB_S113,113–123,118.0 ,"5,474 ",113–123,118.0 ,28.1 ,0.1 ,0.6 ,7.9 ,115.0 ,1 ,113–123,118.0 ,-21.8 ,7.7 ,0.14 ,0.04 ,3.3 
IOC-1_S000,0–10,5.0 ,"9,776 ",0–10,5.0 ,19.8 ,0.1 ,1.2 ,1.7 ,5.0 ,29 ,0–10,5.0 ,-21.0 ,7.4 ,0.68 ,0.10 ,7.0 
IOC-1_S010,10–15,12.5 ,"9,776 ",10–15,12.5 ,14.4 ,0.2 ,1.9 ,2.7 ,12.5 ,10 ,10–15,12.5 ,-21.0 ,7.3 ,0.58 ,0.08 ,7.1 
IOC-1_S015,15–20,17.5 ,"9,776 ",15–20,17.5 ,6.4 ,0.2 ,5.6 ,2.3 ,17.5 ,0 ,15–20,17.5 ,-20.9 ,6.7 ,0.66 ,0.09 ,7.2 
IOC-1_S020,20–25,22.5 ,"9,776 ",20–25,22.5 ,4.4 ,0.2 ,16.6 ,2.2 ,22.5 ,7 ,20–25,22.5 ,-21.1 ,6.6 ,0.64 ,0.09 ,7.1 
IOC-1_S030,30–35,32.5 ,"9,776 ",30–35,32.5 ,4.3 ,0.5 ,43.3 ,3.4 ,32.5 ,1 ,30–35,32.5 ,-20.9 ,7.3 ,0.66 ,0.09 ,7.0 
IOC-1_S045,45–55,50.0 ,"9,776 ",45–55,50.0 ,2.9 ,0.4 ,82.8 ,5.5 ,45.0 ,2 ,45–55,50.0 ,-21.0 ,7.0 ,0.64 ,0.09 ,7.0 
IOC-1_S065,65–75,70.0 ,"9,776 ",65–75,70.0 ,1.4 ,0.3 ,140.4 ,7.1 ,70.0 ,1 ,65–75,70.0 ,-21.0 ,7.1 ,0.53 ,0.08 ,6.7 
IOC-1_S085,85–95,90.0 ,"9,776 ",85–95,90.0 ,1.4 ,0.4 ,133.9 ,11.5 ,90.0 ,0 ,85–95,90.0 ,-21.3 ,7.1 ,0.50 ,0.07 ,6.8 
IOC-1_S105,105–115,110.0 ,"9,776 ",95–105,100.0 ,0.2 ,0.6 ,116.6 ,10.9 ,100.0 ,1 ,105–115,110.0 ,-21.3 ,6.5 ,0.50 ,0.07 ,7.2 
IOC-1_S145,145–155,150.0 ,"9,776 ",135–145,140.0 ,0.3 ,0.5 ,161.0 ,10.0 ,140.0 ,0 ,145–155,150.0 ,-21.5 ,7.0 ,0.29 ,0.04 ,7.4 
IOC-2_S000,0–2.5,1.3 ,"9,772 ",0–2.5,1.3 ,27.6 ,0.4 ,0.9 ,2.5 ,0.0 ,145 ,0–2.5,1.3 ,-21.3 ,6.8 ,0.80 ,0.11 ,7.3 
IOC-2_S003,2.5–5,3.8 ,"9,772 ",nan,nan,nan,nan,nan,nan,nan,nan,2.5–5,3.8 ,-20.9 ,7.2 ,0.64 ,0.09 ,7.0 
IOC-2_S005,5–7.5,6.3 ,"9,772 ",5–7.5,6.3 ,24.7 ,0.2 ,1.0 ,2.8 ,5.0 ,83 ,5–7.5,6.3 ,-20.7 ,7.1 ,0.65 ,0.09 ,7.0 
IOC-2_S008,7.5–10,8.8 ,"9,772 ",7.5–10,8.8 ,18.4 ,0.1 ,0.7 ,3.7 ,nan,nan,7.5–10,8.8 ,-21.0 ,7.2 ,0.50 ,0.08 ,6.7 
IOC-2_S010,10–15,12.5 ,"9,772 ",nan,nan,nan,nan,nan,nan,10.0 ,50 ,10–15,12.5 ,-20.9 ,7.4 ,0.47 ,0.07 ,6.6 
IOC-2_S015,15–20,17.5 ,"9,772 ",15–20,17.5 ,7.6 ,0.3 ,0.3 ,3.6 ,15.0 ,32 ,15–20,17.5 ,-20.9 ,8.2 ,0.40 ,0.06 ,6.8 
IOC-2_S020,20–25,22.5 ,"9,772 ",20–25,22.5 ,1.9 ,0.4 ,1.6 ,4.8 ,20.0 ,22 ,20–25,22.5 ,-20.9 ,6.7 ,0.56 ,0.08 ,7.0 
IOC-2_S025,25–30,27.5 ,"9,772 ",25–30,27.5 ,0.5 ,0.1 ,9.6 ,5.8 ,25.0 ,10 ,25–30,27.5 ,-21.1 ,7.2 ,0.61 ,0.09 ,7.0 
MA2_S000,0–2,1.0 ,"5,838 ",0–2,1.0 ,33.8 ,0.2 ,0.9 ,1.8 ,nan,nan,0–2,1.0 ,-19.6 ,10.3 ,0.37 ,0.06 ,6.6 
MA2_S002,2–4,3.0 ,"5,838 ",2–4,3.0 ,33.8 ,0.1 ,0.4 ,1.8 ,nan,nan,2–4,3.0 ,-19.5 ,10.2 ,0.38 ,0.06 ,6.6 
MA2_S004,4–6,5.0 ,"5,838 ",4–6,5.0 ,34.0 ,0.1 ,0.4 ,1.9 ,nan,nan,4–6,5.0 ,-19.5 ,10.0 ,0.37 ,0.06 ,6.7 
MA2_S010,10–15,12.5 ,"5,838 ",10–15,12.5 ,33.6 ,0.1 ,0.5 ,2.0 ,nan,nan,12–14,13.0 ,-19.7 ,10.3 ,0.30 ,0.05 ,6.1 
MA2_S020,20–25,22.5 ,"5,838 ",20–25,22.5 ,32.6 ,0.0 ,0.5 ,2.6 ,nan,nan,20–25,22.5 ,-19.1 ,11.7 ,0.20 ,0.03 ,7.3 
MA2_S030,30–35,32.5 ,"5,838 ",30–35,32.5 ,31.4 ,0.1 ,0.5 ,2.8 ,nan,nan,30–35,32.5 ,-17.2 ,10.6 ,0.18 ,0.03 ,6.2 
MC-1_S000,0–2,1.0 ,"10,901 ",0–2,1.0 ,33.0 ,0.1 ,1.2 ,1.5 ,1.5 ,152 ,nan,nan,nan,nan,nan,nan,nan
MC-1_S005,5–10,7.5 ,"10,901 ",5–10,7.5 ,28.6 ,0.0 ,0.5 ,2.2 ,7.5 ,98 ,nan,nan,nan,nan,nan,nan,nan
MC-1_S010,10–15,12.5 ,"10,901 ",10–15,12.5 ,23.9 ,0.0 ,0.5 ,2.8 ,11.5 ,71 ,nan,nan,nan,nan,nan,nan,nan
MC-1_S020,20–25,22.5 ,"10,901 ",20–25,22.5 ,10.5 ,0.2 ,1.8 ,3.2 ,21.5 ,33 ,nan,nan,nan,nan,nan,nan,nan
MC-1_S025,25–30,27.0 ,"10,901 ",25–29,27.0 ,5.8 ,0.1 ,0.6 ,4.4 ,27.5 ,14 ,nan,nan,nan,nan,nan,nan,nan
MC-2_S000,0–2,1.0 ,"10,902 ",0–2,1.0 ,33.1 ,0.1 ,0.8 ,1.5 ,nan,nan,0–2,1.0 ,-19.9 ,9.2 ,0.59 ,0.08 ,7.8 
MC-2_S004,4–6,5.0 ,"10,902 ",4–6,5.0 ,30.1 ,0.1 ,0.8 ,2.0 ,4.5 ,117 ,4–6,5.0 ,-19.6 ,9.4 ,0.43 ,0.06 ,7.5 
MC-2_S010,10–12,11.0 ,"10,902 ",10–12,11.0 ,24.5 ,0.0 ,0.5 ,2.7 ,12.5 ,68 ,10–12,11.0 ,-19.6 ,9.4 ,0.39 ,0.05 ,7.2 
MC-2_S020,20–22,21.0 ,"10,902 ",20–22,21.0 ,13.1 ,0.1 ,0.5 ,4.0 ,20.5 ,29 ,20–22,21.0 ,-19.5 ,9.9 ,0.40 ,0.06 ,7.0 
MC-2_S030,30–35,32.5 ,"10,902 ",30–35,32.5 ,0.6 ,0.2 ,2.6 ,5.2 ,32.5 ,1 ,30–35,32.5 ,-19.7 ,9.7 ,0.45 ,0.06 ,7.3 
MC-2_S040,40–44,42.0 ,"10,902 ",40–44,42.0 ,0.0 ,0.1 ,13.2 ,7.0 ,40.5 ,1 ,40–44,42.0 ,-19.0 ,9.2 ,0.30 ,0.04 ,6.7 
MD_S000,0–2,1.0 ,"6,067 ",0–2,1.0 ,34.2 ,0.2 ,0.8 ,1.7 ,0.0 ,136 ,0–2,1.0 ,-19.1 ,10.8 ,0.41 ,0.07 ,5.6 
MD_S002,2–5,3.5 ,"6,067 ",2–5,3.5 ,34.5 ,0.1 ,0.6 ,1.7 ,4.0 ,133 ,2–4,3.0 ,-19.2 ,10.5 ,0.34 ,0.06 ,5.5 
MD_S005,5–10,7.5 ,"6,067 ",5–10,7.5 ,35.2 ,0.2 ,0.7 ,1.8 ,6.0 ,127 ,6–8,7.0 ,-20.8 ,9.4 ,0.14 ,0.04 ,3.5 
MD_S015,15–20,17.5 ,"6,067 ",15–20,17.5 ,35.7 ,0.0 ,0.5 ,1.9 ,16.0 ,120 ,16–18,17.0 ,-20.5 ,9.0 ,0.12 ,0.04 ,3.2 
ME_S000,0–2,1.0 ,"4,700 ",0–2,1.0 ,34.7 ,0.4 ,2.2 ,2.0 ,0.5 ,141 ,0–2,1.0 ,-19.1 ,10.9 ,0.36 ,0.07 ,5.2 
ME_S002,2–5,3.5 ,"4,700 ",2–5,3.5 ,35.1 ,0.0 ,0.5 ,1.9 ,2.5 ,140 ,2–4,3.0 ,-19.1 ,10.8 ,0.38 ,0.07 ,5.3 
ME_S005,5–10,7.5 ,"4,700 ",5–10,7.5 ,36.2 ,0.0 ,0.4 ,2.0 ,6.5 ,136 ,6–8,7.0 ,-19.2 ,11.2 ,0.30 ,0.06 ,4.8 
ME_S010,10–15,12.5 ,"4,700 ",10–15,12.5 ,36.8 ,0.1 ,0.5 ,2.0 ,12.5 ,124 ,12–14,13.0 ,-19.4 ,10.5 ,0.22 ,0.05 ,4.0 
ME_S015,15–20,17.5 ,"4,700 ",15–20,17.5 ,37.4 ,0.1 ,0.5 ,2.0 ,16.5 ,120 ,16–18,17.0 ,-19.8 ,10.0 ,0.22 ,0.06 ,3.7 
ME_S020,20–25,22.5 ,"4,700 ",20–25,22.5 ,38.1 ,0.1 ,0.8 ,2.0 ,22.5 ,110 ,20–25,22.5 ,-19.9 ,10.0 ,0.16 ,0.05 ,3.4 
ME_S025,25–30,27.5 ,"4,700 ",25–30,27.5 ,38.9 ,0.1 ,0.7 ,1.9 ,26.5 ,108 ,25–30,27.5 ,-19.7 ,10.1 ,0.15 ,0.05 ,3.3 
ME_S030,30–35,32.5 ,"4,700 ",30–35,32.5 ,39.7 ,0.1 ,0.8 ,1.9 ,32.5 ,94 ,nan,nan,nan,nan,nan,nan,nan
MF_S000,0–2,1.0 ,"5,183 ",0–2,1.0 ,34.1 ,0.2 ,1.0 ,1.5 ,1.5 ,134 ,0–2,1.0 ,-19.5 ,10.3 ,0.47 ,0.08 ,5.9 
MF_S002,2–5,3.5 ,"5,183 ",2–5,3.5 ,34.2 ,0.1 ,0.5 ,1.5 ,3.5 ,130 ,2–4,3.0 ,-19.4 ,10.3 ,0.48 ,0.09 ,5.7 
MF_S005,5–10,7.5 ,"5,183 ",5–10,7.5 ,34.9 ,0.1 ,0.5 ,1.7 ,7.5 ,128 ,6–8,7.0 ,-19.4 ,10.2 ,0.51 ,0.08 ,6.0 
MF_S015,15–20,17.5 ,"5,183 ",15–20,17.5 ,35.5 ,0.0 ,0.5 ,1.8 ,17.5 ,119 ,16–18,17.0 ,-20.2 ,9.9 ,0.14 ,0.05 ,3.0 
