Name,SeqName,Depth,elev,env_broad_scale,env_local_scale,env_medium,geo_loc_name,Lat_Lon
IO1-1_IO1-1_S000,DRR172378,0 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S002,DRR172379,0.02 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S004,DRR172380,0.04 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S006,DRR172381,0.06 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S008,DRR172382,0.08 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S015,DRR172383,0.15 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S025,DRR172384,0.25 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-2_IO1-2_S000,DRR172385,0 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S002,DRR172386,0.02 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S004,DRR172387,0.04 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S006,DRR172388,0.06 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S008,DRR172389,0.08 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S009,DRR172390,0.09 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S010,DRR172391,0.1 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S020,DRR172392,0.2 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO3_IO3_S000,DRR172393,0 m,5257 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,33.7434 N 142.883 E
IO3_IO3_S004,DRR172394,0.04 m,5257 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,33.7434 N 142.883 E
IO3_IO3_S008,DRR172395,0.08 m,5257 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,33.7434 N 142.883 E
IO3_IO3_S010,DRR172396,0.1 m,5257 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,33.7434 N 142.883 E
IO3_IO3_S015,DRR172397,0.15 m,5257 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,33.7434 N 142.883 E
IOA_IOA_S000,DRR172398,0 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOA_IOA_S002,DRR172399,0.02 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOA_IOA_S003,DRR172400,0.03 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOA_IOA_S004,DRR172401,0.04 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOA_IOA_S005,DRR172402,0.05 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOA_IOA_S010,DRR172403,0.1 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOB_IOB_S000,DRR172404,0 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
IOB_IOB_S013,DRR172405,0.13 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
IOB_IOB_S033,DRR172406,0.33 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
IOB_IOB_S053,DRR172407,0.53 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
IOB_IOB_S073,DRR172408,0.73 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
IOB_IOB_S093,DRR172409,0.93 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
IOB_IOB_S113,DRR172410,1.13 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
IOC_IOC_S000,DRR172411,0 m,9776 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1500 N 142.8033 E
IOC_IOC_S010,DRR172412,0.1 m,9776 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1500 N 142.8033 E
IOC_IOC_S015,DRR172413,0.15 m,9776 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1500 N 142.8033 E
IOC_IOC_S020,DRR172414,0.2 m,9776 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1500 N 142.8033 E
IOC_IOC_S030,DRR172415,0.3 m,9776 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1500 N 142.8033 E
IOC_IOC_S045,DRR172416,0.45 m,9776 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1500 N 142.8033 E
IOC_IOC_S065,DRR172417,0.65 m,9776 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1500 N 142.8033 E
IOC_IOC_S085,DRR172418,0.85 m,9776 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1500 N 142.8033 E
IOC_IOC_S105,DRR172419,1.05 m,9776 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1500 N 142.8033 E
IOC_IOC_S145,DRR172420,1.45 m,9776 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1500 N 142.8033 E
IOD_IOD_S000,DRR172421,0 m,9772 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1412 N 142.7983 E
IOD_IOD_S003,DRR172422,0.03 m,9772 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1412 N 142.7983 E
IOD_IOD_S005,DRR172423,0.05 m,9772 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1412 N 142.7983 E
IOD_IOD_S008,DRR172424,0.08 m,9772 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1412 N 142.7983 E
IOD_IOD_S010,DRR172425,0.1 m,9772 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1412 N 142.7983 E
IOD_IOD_S015,DRR172426,0.15 m,9772 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1412 N 142.7983 E
IOD_IOD_S020,DRR172427,0.2 m,9772 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1412 N 142.7983 E
IOD_IOD_S025,DRR172428,0.25 m,9772 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,29.1412 N 142.7983 E
JC_JC_S000,DRR172429,0 m,7963 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,36.0724 N 142.744 E
JC_JC_S002,DRR172430,0.02 m,7963 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,36.0724 N 142.744 E
JC_JC_S004,DRR172431,0.04 m,7963 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,36.0724 N 142.744 E
JC_JC_S006,DRR172432,0.06 m,7963 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,36.0724 N 142.744 E
JC_JC_S008,DRR172433,0.08 m,7963 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,36.0724 N 142.744 E
JC_JC_S010,DRR172434,0.1 m,7963 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,36.0724 N 142.744 E
JC_JC_S020,DRR172435,0.2 m,7963 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,36.0724 N 142.744 E
JC_JC_S037,DRR172436,0.37 m,7963 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,36.0724 N 142.744 E
MA2_MA2_S002,DRR172437,0.02 m,5838 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,11.7463 N 142.1087 E
MA2_MA2_S004,DRR172438,0.04 m,5838 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,11.7463 N 142.1087 E
MA2_MA2_S010,DRR172439,0.1 m,5838 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,11.7463 N 142.1087 E
MA2_MA2_S020,DRR172440,0.2 m,5838 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,11.7463 N 142.1087 E
MA2_MA2_S030,DRR172441,0.3 m,5838 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,11.7463 N 142.1087 E
MC-1_MC-1_S000,DRR172442,0 m,10901 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,11.3721 N 142.4378 E
MC-1_MC-1_S005,DRR172443,0.5 m,10901 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,11.3721 N 142.4378 E
MC-1_MC-1_S010,DRR172444,0.1 m,10901 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,11.3721 N 142.4378 E
MC-1_MC-1_S020,DRR172445,0.2 m,10901 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,11.3721 N 142.4378 E
MC-1_MC-1_S025,DRR172446,0.25 m,10901 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,11.3721 N 142.4378 E
MC-2_MC-2_S000,DRR172447,0 m,10902 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,11.3699 N 142.4293 E
MC-2_MC-2_S004,DRR172448,0.04 m,10902 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,11.3699 N 142.4293 E
MC-2_MC-2_S010,DRR172449,0.1 m,10902 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,11.3699 N 142.4293 E
MC-2_MC-2_S020,DRR172450,0.2 m,10902 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,11.3699 N 142.4293 E
MC-2_MC-2_S030,DRR172451,0.3 m,10902 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,11.3699 N 142.4293 E
MC-2_MC-2_S040,DRR172452,0.4 m,10902 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,11.3699 N 142.4293 E
ME_ME_S000,DRR172457,0 m,4700 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.2997 N 142.6003 E
ME_ME_S002,DRR172458,0.02 m,4700 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.2997 N 142.6003 E
ME_ME_S005,DRR172459,0.05 m,4700 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.2997 N 142.6003 E
ME_ME_S010,DRR172460,0.1 m,4700 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.2997 N 142.6003 E
ME_ME_S015,DRR172461,0.15 m,4700 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.2997 N 142.6003 E
ME_ME_S020,DRR172462,0.2 m,4700 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.2997 N 142.6003 E
ME_ME_S025,DRR172463,0.25 m,4700 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.2997 N 142.6003 E
ME_ME_S030,DRR172464,0.3 m,4700 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.2997 N 142.6003 E
MD_MD_S000,DRR177286,0 m,6067 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.9158 N 142.5339 E
MD_MD_S002,DRR177287,0.02 m,6067 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.9158 N 142.5339 E
MD_MD_S005,DRR177288,0.05 m,6067 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.9158 N 142.5339 E
MD_MD_S015,DRR177289,0.15 m,6067 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.9158 N 142.5339 E
MF_MF_S000,DRR177290,0 m,5183 m,marine hadal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.6499 N 142.5512 E
MF_MF_S002,DRR177291,0.02 m,5183 m,marine hadal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.6499 N 142.5512 E
MF_MF_S005,DRR177292,0.05 m,5183 m,marine hadal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.6499 N 142.5512 E
MF_MF_S015,DRR177293,0.15 m,5183 m,marine hadal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,10.6499 N 142.5512 E
